
 Performance counter stats for 'system wide':

          4,426.45 MiB  uncore_imc_0/cas_count_read/                                   
            179.21 MiB  uncore_imc_1/cas_count_read/                                   
              0.00 MiB  uncore_imc_2/cas_count_read/                                   
              0.00 MiB  uncore_imc_3/cas_count_read/                                   
              0.00 MiB  uncore_imc_4/cas_count_read/                                   
              0.00 MiB  uncore_imc_5/cas_count_read/                                   
          4,153.86 MiB  uncore_imc_0/cas_count_write/                                   
             26.25 MiB  uncore_imc_1/cas_count_write/                                   
              0.00 MiB  uncore_imc_2/cas_count_write/                                   
              0.00 MiB  uncore_imc_3/cas_count_write/                                   
              0.00 MiB  uncore_imc_4/cas_count_write/                                   
              0.00 MiB  uncore_imc_5/cas_count_write/                                   

       4.491884220 seconds time elapsed

